"ID","Line","Sequence"
1,"Ar1","041-430!.040-320.009-320.009-440-440-440-440-445-695-004.120a-004"
2,"Ar1","067-034c-060a.260"
3,"Ar1","554a-022bf-551.061c-022bfy-552-022bfy-551-022bfy-301.082-022bfy-008a.451V-022bf-005:008a-022bfy-008a.006-022bfy-008a-004.064a-022bf-553-022bfy"
4,"Ar1","065.003a-065.003a-065.095aj-065-065.074fx-065-001-065-022-065.450y-065.009-065.006y"
5,"Ar1","004-004-004-007-002b-060a-093-070-200-394a-008a-001.008a-421.739-300-445-063a-384-015af-384-066ax-498V-025-301-027f-630.678-739ay.052x-067-655"
6,"Ar2","144f-200-011-200-070a-144f"
7,"Ar2","306.003a-028.006xy-093-302-045.006"
8,"Ar2","022bf.243-005j-077.034V-522fy-011-007"
9,"Pr7","004-600a-522b-606os-609a.063"
10,"Ar3","600-060a.003a-461a-060a.003a-600-004.061c-600.004.064a-001.063-014-680a-011-741"
11,"Ar3","316a-631-600.075-600.007"
12,"Ar3","535.020ey-080-004"
13,"Ar4","535s?-080-004-600.007"
14,"Ar4","285as-025-280c-144f:042-048-022df"
15,"Ar4","575-004.575-579-579-583-583"
16,"Ar4","007.010.074f-109a.009-660-004-080a-208.007-002-005j-430-002a.208"
17,"Ar4-5","064.074af-600-004-031-031-064.074-001.062.074a-040a-745-745-001-005j-306s.108-079-002Vc-400-430b-002d-046-002d-050V-670a-600-755-451-360.005j-004.077a-305s-009-007-208-007-630c-745-608V-600-366-716-001-058-001-058-001-058-044ax.010f"
19,"Ar5","306s.003a-020efy-020efy"
20,"Ar5","005j-004-081x-117a-081x-469-200.025.240.025.254-471-060a-527-008"
21,"Ar5","008-600-446s-240.048.062-049f.477-048-091-091.009j.325a"
22,"Ar5-6","001a-430a.004-630!.004x!-220j.005j-630b.004t-053a-420y-420-053a-770b-001.069"
23,"Ar6","085-476-050t-748-593aj-379.004-430.430y-002a-200.002a-097a-069a-097-069-097-387o-387ao-004-326-232a-226-200.600"
24,"Ar6","300.432y-044b.340.044b-021a-004a-323-410.011-004a.064a"
25,"Ar6","070a-311-011.077-700bx-524afs-041a-002Vc"
27,"Ar7","254.711-002a-002a-080-004a"
28,"Ar7","002a-002a-080-004a"
29,"Ar8","242.001c-046a-004-094c.711"
30,"Cr3","022f.252-252f"
31,"Av2","022bf.243a-041.052x-061sy.001"
32,"Av4","022bf.243f-029y.074a-006-017"
33,"Cr3","022f.254-050.010-079"
34,"Pr7","021g-760-050-002a.760.052x-050-005j.010-004a.064.003a"
35,"Ar8","004-774-093f-774-020f-774b"
36,"Ar8","044-002a-001-090j-665-095b-093j"
37,"Av1","360b.009h-672-005j.037x-005j.325-005.037x"
38,"Av1","306.711-280-755-741-741-091-600"
39,"Pr3","202.003a-004.600a-600a.004-061y:042.003a-050.003a-095d.006-095dj.006.003a-027.003a-086a.003a-060a.003a-095d.003-247.095.003a-003a.205y-117d-450.010-551b.003a-600a-003a.420ay-381-117d-450.052-551.003a-606a.003a-386ay-480a.004.003a-099-007-605bs-752-006.074f-752-360.001.260"
40,"Av3","256c-022bfy-022bfy-004.004"
41,"Av3","22.590.022-070"
43,"Av4","007-067a.010f-067a-470-001t-580c"
44,"Av4","010y.599d-005j-066V-580c"
45,"Av4","697ao-207.520fhy-002a-053ay-074xy.007.095"
46,"Av4","680-065-600.065-600.065"
47,"Av4","003ax.255-256d-048a-280"
49,"Av5-6","326-001-008-600s.074hx-666-053ay.009-002-040a.009-002V-086-739b-700a-006-090!-430!"
50,"Av8","522fy-008a.240.008a"
51,"Ba1","595.001-050-301s-004-002-040-211-091-200"
52,"Ba2","430-059f-600"
53,"Ba6","290.063-755-063-004.064-063-043:050-063-004-063-061.022.061-063-015f.063-569-063-001f-063-000!-016t?-063-016?-063.037-063-020.006-063-618-063-016?"
54,"Ba4","003.001-470-091t-450-383-126-678-384"
55,"Ba4","263s-200.063-700-001"
56,"Ba5","303s-079-001"
57,"Ba7","624.008-066"
58,"Ba9","054-066-095x-066-301-006.074f-307-066-022f-066-300.066-054-066-741-066-381-104-027x-301"
59,"Ba9","540-005:700-053-002-381-005:700-381-005:700	# corrected Barthel"
60,"Ba9-10","034-493-010.044-001-522y-745-093-207?-008-739-001V-101-244-242-600-004-600-040-700f-324.076-300.001-590.005-380.050-600-430.076-430y.076-430-076-755-063.004.064-670.700-470-021ft"
61,"Bb1","405-008.049f?-569"
62,"Hv10","200.044ax-067-375a-041-041-040-040-630c.076-117a-430b-025af-022-045a-022-002a-022-050a"
63,"Bb2","007-059f-006.074f.326.077-420y.430-077-654y-380.007"
64,"Bb2","380y.280-060-380y.002-010.133-060.169.678-040-041-700-522y.070-484-470-021t-360.040-630-047"
65,"Bb3","575-056-200-069.056-730.069"
66,"Sv6","190a.055b-022f-055b"
67,"Cv10","059f.006-059f.008-059f.003.001-391.071-010.002"
68,"Bb4","060-755-600-029y-022.600-060-574s.003-204s-054-306s.003-001.006-009.006-005.006-001"
69,"Bb4","739.003-739-670"
70,"Pv4","554b!-311y!.048.210.600-600-027-700c-001-078y.308-034c"
71,"Bb5","200.600-027.006-011.006-077.208-034-027-663-002-065:042-300"
72,"Bb5","385-003.065.200"
73,"Bb6","002.052x-474-052x-482.052x-001-095f-095f-105-001.300-065.065:042-300-048.385.008-200.600-600-027.006-700-011.209a-034"
74,"Bb7","196-002-306-326-326-670-608-133:042-381-400-387-385"
75,"Bb7","320.048-017-320.048-019-320.048-102"
76,"Bb8","045.009.037-010.001f-522f-381.009-260.001-004.711-260.001-004.711"
77,"Bb10","240.004.064-050-073.006-493-004.064-670-004.064-063:009"
78,"Bb11","395.006.074-004-008-049f.007-001-191.048-380.044-007-520.044-735-415-074?"
79,"Bb11","755-755-004.052x-459.200.459-079.275a-079.275a-067.067.010"
80,"Bb11","007.052-010.053"
81,"Sv8","046-073.006-007-600-099-050"
82,"Ev6/Bb12","007-067.010f-244s-027.006-077.034-004-522-700-600-059f-004.064-006:700-030a-450.003"
83,"Pv8","669-048-669y-099b-048a-045b.277-045b-050"
84,"Pr1","001.200.009-755-050.010-005.037x-001-577-700-280-001-007-260.001c-280-025ay"
85,"Ev6","002.034-002-001-002.034"
86,"Pr9","214-001-405y.755.006-770e-060a-070a-061y.001.061-386-206s-091k-091j-381-065b.001-594"
87,"Ev5","205s-002-001-007-292-001t.063"
88,"Cv6","004-066-760.004-066"
89,"Cr4","073f?-001-005"
90,"Cr4","073f?-091-091-730-730"
91,"Cr8","280-385y-385"
92,"Cr7","390.041-378-041-670-008.078.711"
93,"Cr9","215.002-010.002-005-002-069-002"
94,"Cr10","010f.070-760-040-006-430-047"
95,"Ev4","088-001-047-001"
96,"Ev4","280-001-280-002-001"
97,"Ev4","001f-057-001-001f-163-200-001.062-522fy"
98,"Sv2","062.001-631-607-089a-096-205-067"
99,"Cv2","370-379.013-379.013"
100,"Cv3","001.072-077-027.711"
101,"Ev5","207-040h-073.006-053"
102,"Cv6","017-010-006V-381	#corrected Barthel"
103,"Hr2-3","600-700-671a-020-084a.003a-200.001-260-001?-062y.001.003a-070-060a-220.005j-256b.711t"
104,"Pr9","022-048a-002a-001-491a-522?"
105,"Da3","600-002-200.052x"
106,"Da4","073.064-052.590.052-000!"
107,"Da5","001?.380?-002-003-730"
108,"Sr6","007-600-007.010"
110,"Er1","004.430-022.430y"
111,"Er1","041-300y-300.024"
112,"Er5","300y?.044-300y?.044-300.053-300.053-200.053-017-053-017"
113,"Er7","092-050.006-670"
114,"Ev2","294s-002.071-211s-091-071-006-047.010f.201s"
115,"Ev2","067.400-400.004-700-004-700	#corrected Barthel"
116,"Ev2","607-009.006-607-009.006"
117,"Hr3","062y.006-001-062y.006-001-062y.006-001!"
118,"Ev5","091-774-581.011"
119,"Ev8","068.010-077.254-055b-095-326-019-057-019-107"
120,"Ev6","515-040-670-002.006-001?.062-200.022-010.110	# corrected Barthel"
121,"Ev7","566s-074-035-070-035-400-035-071.065.071-035-010.067-035-276.076?-188-031-509-062?.004?-009"
122,"Sv4","600-062.009-232s-600"
123,"Gr5","290.020-079-280-002-280-030a"
124,"Gr5","280-001-521-280-001-022.061-280"
125,"Gr7","098-007"
126,"Gr8","059f.076-187-186-607.700x.076-205.076?-113"
127,"Gv3","430.076-070"
128,"Gv6","200-730-517a.076"
129,"Hr11","200-200-076-755-090"
130,"Hv4","205-316cs-081-420y-020b.010-002.062-144f-591-048bf-700cx-081-589-031c"
131,"Pv6","200.600.069h-200j.560.001"
132,"Hv5","200.050a-001a-200.050a-001.240.050a"
133,"Hv7","280-604s.075-025af"
134,"Hv8","002a.010-254-079-001.600-093f"
135,"Pv10","401a.394asy-200.093j"
136,"Hv9","070-066-600-670"
137,"Ia5","084.076-670-700-090.076-607-073f:490"
138,"Ia7","178.076-728-146.053"
139,"Ia8","208.076-007-146-384-090.092-090.076-090.076-020.010-087-529a-005-005-005"
140,"Ia9","023.076-146f-001V.069-280.076-160-676-023.076-022h-530-451-430.076-530-298"
143,"Qv4","073f-001-057c-001-069b!-(1-2)!-607.074f"
144,"Rv7","040-005-600-020-020-080-004"
146,"Sr4","091.206.052x-280-522"
147,"Sr5","027-700.006-306s-260s.008	# corrected Barthel"
148,"Sr5","070-300.005"
149,"Sr6","205.711v	# corrected Barthel"
150,"Sr7","000!-090f-090f:090f-070"
151,"Sr8","091.076-070"
152,"Sv4","001.520f-004.064"
153,"Sv5","059f.055b-035"
154,"Sv7","306s.003-522f.003-022f.003-006.074f.003-145.003-102"
