,Glyphs,Encoded,Prediction,Perplexity,BestMatch
0,"['40', '430', '40', '226', '9', '226', '9', '451', '451', '451', '451', '430', '10', '430', '?', '10', '4', '?', '?', '4']","['13', '9', '13', '26', '15', '26', '15', '0', '0', '0', '0', '9', '3', '9', '21', '3', '4', '21', '21', '4']",ta koro mo koro mo koro mo koro mo koro mo koro mo koro mo koro mo koro mo,297.8660317355365,he oho he rere he moko he kamo he kakari hau ro
1,"['67', '34', '60', '260']","['0', '0', '0', '0']",momomo,164.27821846474745,momomomo
2,"['8', '94a', '22f', '8', '381', '61', '22f', '8', '27', '61', '22f', '8', '381', '22f', '61', '45', '8', '22f', '8', '451', '22f', '8', '5', '22f', '8', '6', '22f', '8', '4', '6', '22f', '8', '208', '22f']","['7', '0', '27', '7', '6', '12', '27', '7', '0', '12', '27', '7', '6', '27', '12', '0', '7', '27', '7', '0', '27', '7', '18', '27', '7', '1', '27', '7', '4', '1', '27', '7', '0', '27']",ki hiva ko hiva ko hiva ko hiva ko hiva ko hiva ko hiva ko hiva ko hiva ko,235.02172696229826,ki raro ki te rano mata ui a ruga a te hihi e
3,"['66', '3', '66', '3', '66', '95', '66', '66', '74', '66', '1', '66', '22', '66', '450', '66', '9', '66', '6']","['10', '8', '10', '8', '10', '29', '10', '10', '0', '10', '2', '10', '0', '10', '0', '10', '15', '10', '1']",ko uru turu vehi o te paku paku paku paku paku paku paku paku paku paku pa,601.2545911305903,e te tuu e te taha e kuia kapakapa
4,"['4', '4', '4', '7', '2', '60', '95', '70', '290', '61', '8', '1', '8', '430', '739', '430', '10', '63', '381', '6', '15', '381', '6', '66', '670', '25', '61', '27', '430', '678', '739', '52', '67', '381', '678']","['4', '4', '4', '22', '11', '0', '29', '0', '0', '12', '7', '2', '7', '9', '0', '9', '3', '14', '6', '1', '0', '6', '1', '10', '28', '0', '12', '0', '9', '0', '0', '0', '0', '6', '0']",toga a tena ruga a tena ruga a tena ruga a tena ruga a tena ruga a te,284.42584564465216,ka tau age ruhi pu te rei roa a tagi te gaegae
5,"['59', '11', '70', '59']","['0', '0', '0', '0']",momomo,164.27821846474745,momomomo
6,"['6', '3', '28', '6', '95', '62', '45', '6']","['1', '8', '0', '1', '29', '19', '0', '1']",a tike a roke a roke a roke a roke a roke a roke a roke a roke a,304.5496455523498,ka oka age hau koka te korotea a kava a te ruruki
7,"['22f', '256', '63', '5', '77', '34', '522', '11', '7']","['27', '16', '14', '18', '0', '0', '30', '0', '22']",hirohiro ragi pakupaku,227.3619297960839,hiro ragi pakupaku
8,"['4', '600', '522', '600', '6', '600', '600', '63']","['4', '5', '30', '5', '1', '5', '5', '14']",i te tua mau koro tua mau koro tua mau koro tua mau koro tua mau ,301.2645594540039,ka oka age hau koka te korotea a kava a te ruruki
9,"['600', '60', '3', '461', '60', '3', '600', '4', '61', '600', '4', '6', '1', '63', '14', '660', '660', '11', '381']","['5', '0', '8', '0', '0', '8', '5', '4', '12', '5', '4', '1', '2', '14', '0', '0', '0', '0', '6']",ka haro taiga i te hiva te hiva te hiva te hiva te hiva te hiva te hiva ,174.90761200546456,ka hi age hatehate te kahi riva a tumu a hoi
10,"['6', '6', '430', '600', '75', '600', '7']","['1', '1', '9', '5', '0', '5', '22']",a ataragi e e,76.348818824781,ataragi ana
11,"['532', '10', '2a', '8', '8', '4']","['0', '3', '17', '7', '7', '4']",mo te vaka e,64.41460610425321,mo te hare
12,"['532', '10', '8', '8', '4', '600', '7']","['0', '3', '7', '7', '4', '5', '22']",tuu e te maha,131.07595448436027,he uga e te maga
13,"['290', '10', '25', '280', '40', '59', '48', '22f']","['0', '3', '0', '0', '13', '0', '0', '27']",he vereko,122.54473056810569,he retu no
14,"['69', '10', '4', '69', '10', '208', '69', '10', '208', '69', '10', '226', '69', '10', '226', '69', '10']","['20', '3', '4', '20', '3', '0', '20', '3', '0', '20', '3', '26', '20', '3', '26', '20', '3']",o uru hopu ohovehioe hopu uru hopu ohovehioe hopu uru hopu ohovehioe,514.4625498542557,he oho he rere he moko he kamo he kakari hau ro
15,"['7', '10', '74', '109', '9', '660', '4', '8', '8', '208', '7', '2', '5', '430', '2a', '208']","['22', '3', '0', '0', '15', '0', '4', '7', '7', '0', '22', '11', '18', '9', '17', '0']",o hiva na toga hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva ,316.528319204045,ha hi age hatehate te kahi riva a tumu a hoi
16,"['6', '74', '600', '4', '30a', '30a', '6', '74', '1', '62', '74', '40', '381', '10', '381', '10', '1', '5', '6', '109', '79', '2', '600', '430', '2', '45', '2', '50', '670', '600', '755', '451', '260', '5', '4', '77', '10', '9', '7', '208', '7', '430', '381', '10', '607', '607', '600', '260', '6', '72', '?', '1', '75', '1', '75', '1', '75', '44', '10f']","['1', '0', '5', '4', '0', '0', '1', '0', '2', '19', '0', '13', '6', '3', '6', '3', '2', '18', '1', '0', '0', '11', '5', '9', '11', '0', '11', '0', '28', '5', '0', '0', '0', '18', '4', '0', '3', '15', '22', '0', '22', '9', '6', '3', '0', '0', '5', '0', '1', '0', '21', '2', '0', '2', '0', '2', '0', '0', '0']",ka hoga hore hore hore hore hore hore hore hore hore hore hore hore hore hore,830.1038334293164,he oho he rere he moko he kamo he kakari hau ro
17,"['6', '3', '2a', '2a']","['1', '8', '17', '17']",a hao,86.68272138882237,ka hao e
18,"['5', '4', '8', '75', '8', '461', '10', '25', '256', '25', '256', '670', '10', '60', '522', '999', '8']","['18', '4', '7', '0', '7', '0', '3', '0', '16', '0', '16', '28', '3', '0', '30', '0', '7']",ka hakaheke hi hi hi hivavehi i hovehiroe,340.7499409513494,ka hati te vave i papa hirohiro
19,"['8', '600', '430', '6', '256', '48', '62', '48', '461', '48', '90', '90', '9', '226', '10']","['7', '5', '9', '1', '16', '0', '19', '0', '0', '0', '25', '25', '15', '26', '3']",i tagi ga to,149.08756150647642,i vai ga hue
20,"['1', '430', '4', '430', '4', '226', '5', '430', '4', '53', '430', '430', '53', '770', '1', '69']","['2', '9', '4', '9', '4', '26', '18', '9', '4', '0', '9', '9', '0', '0', '2', '20']",ka ko haga e te haho vie uru haho vie uru haho vie uru haho vie uru,347.68400731849556,ka hi age hatehate te kahi riva a tumu a hoi
21,"['?', '670', '6', '50', '6', '730', '6', '290', '9', '?', '270', '4', '430', '430', '2a', '2a', '97a', '69', '97a', '69', '97a', '381', '999', '381', '999', '4', '226', '230', '62', '226', '600']","['21', '28', '1', '0', '1', '0', '1', '0', '15', '21', '0', '4', '9', '9', '17', '17', '0', '20', '0', '20', '0', '6', '0', '6', '0', '4', '26', '0', '19', '26', '5']",kio,164.27821846474745,ai ava
22,"['381', '44', '256', '44', '21', '4', '226', '63', '600', '600', '11', '4', '6']","['6', '0', '16', '0', '0', '4', '26', '14', '5', '5', '0', '4', '1']",ka rata tata nui i toragi ata tuki ata toki rere tua,375.61255663459843,kia hiva ti para para kava to hua
23,"['70', '61', '61', '11', '77', '700', '522', '6', '40', '2']","['0', '12', '12', '0', '0', '23', '30', '1', '13', '11']",ku ragi gaa vae ragi au au au au au au au au au au au,381.4933887357998,ki raro ki te rano mata ui a ruga a te hihi e
24,"['256', '711', '2a', '2a', '8', '8', '4']","['16', '0', '17', '17', '7', '7', '4']",romi e,74.33729404079811,puti e
25,"['2a', '2a', '8', '8', '4']","['17', '17', '7', '7', '4']",to o o vakaou,181.85892612606267,to koro tagata
26,"['256', '62', '1', '45', '4', '94a', '711']","['16', '19', '2', '0', '4', '0', '0']",va naunau no,202.2721450781119,he naunau no
27,"['22f', '62', '256', '62', '62', '256', '62']","['27', '19', '16', '19', '19', '16', '19']",ki hiva rikiriki vakuvaku,180.6836203662102,ki hiva ki ovakevake
28,"['22f', '256', '63', '40', '52', '61', '1']","['27', '16', '14', '13', '0', '12', '2']",to koro mo koro manu mau tope koro mo koro manu mau tope koro mo koro manu,295.1775081353824,ka oka age hau koka te korotea a kava a te ruruki
29,"['22f', '256', '63', '29', '74', '6', '17']","['27', '16', '14', '0', '0', '1', '0']",to hiva memea,162.41347085253062,po ihu meamea
30,"['22f', '256', '50', '10', '79']","['27', '16', '0', '3', '0']",he e,36.32866702824529,e pua
31,"['21', '760', '50', '2a', '760', '52', '50', '5', '10', '4', '6', '3']","['0', '0', '0', '17', '0', '0', '0', '18', '3', '4', '1', '8']",ki tau o oho tokiha ata tau oho tokiha ata tau oho tokiha ata tau ,538.896211481041,ka tau age ruhi pu te rei roa a tagi te gaegae
32,"['4', '773', '95', '773', '2a', '773']","['4', '0', '29', '0', '17', '0']",eve rakuraku,166.01309018839947,eve rakuraku
33,"['44', '2a', '1', '90', '670', '95', '95']","['0', '17', '2', '25', '28', '29', '29']",mo koro ki te papa rona,133.0515017096902,ki roto ki te pakahera
34,"['260', '9', '99', '678', '5', '37', '5', '226', '10', '5', '37']","['0', '15', '0', '0', '18', '0', '18', '26', '3', '18', '0']",veri pino,207.76347461077728,vae tini
35,"['6', '711', '280', '755', '381', '381', '90', '600']","['1', '0', '0', '0', '6', '6', '25', '5']",a rona rere a rona rere a rona rere a rona rere a rona rere a rona re,249.69941317837944,ka oka age hau koka te korotea a kava a te ruruki
36,"['62', '3', '4', '600', '600', '4', '40', '61', '3', '50', '3', '95', '6', '95', '6', '3', '27', '3', '86', '3', '60', '3', '95', '3', '256', '999', '95', '3', '3', '10', '75', '450', '10', '8', '381', '3', '600', '3', '430', '381', '75', '450', '52', '8', '381', '3', '600', '6', '3', '381', '6', '381', '4', '3', '99', '7', '600', '10', '755', '62', '6', '74', '755', '62', '260', '1', '260']","['19', '8', '4', '5', '5', '4', '13', '12', '8', '0', '8', '29', '1', '29', '1', '8', '0', '8', '0', '8', '0', '8', '29', '8', '16', '0', '29', '8', '8', '3', '0', '0', '3', '7', '6', '8', '5', '8', '9', '6', '0', '0', '0', '7', '6', '8', '5', '1', '8', '6', '1', '6', '4', '8', '0', '22', '5', '3', '0', '19', '1', '0', '0', '19', '0', '2', '0']",hate ga ga ga ga ga ga ga ga ga ga ga ga ga ga ga ga ga ga ga ga ga ga,413.85922353911724,ka iri age ra ki rano kau ki te gatu ma hami regarega
37,"['256', '22f', '22f', '4', '4']","['16', '27', '27', '4', '4']",ko tunui e,72.81852688122085,ko tuhia
38,"['22', '9', '22', '70']","['0', '15', '0', '0']",he retu no,89.12963280838416,he retu no
39,"['7', '67', '10f', '67', '670', '1', '700', '69']","['22', '0', '0', '0', '28', '2', '23', '20']",tomo rikirikipiki,236.70283774450795,i ahu rikiriki
40,"['10', '95', '9', '5', '66', '700', '69']","['3', '29', '15', '18', '10', '23', '20']",i huga te ratukere,168.73367729982638,i haga tuu tavake
41,"['607', '?', '999', '522', '2a', '53', '74', '7', '95']","['0', '21', '0', '30', '17', '0', '0', '22', '29']",gutu pakupa rona,301.9415463329471,e papa rona
42,"['660', '660', '66', '600', '66', '600', '66']","['0', '0', '10', '5', '10', '5', '10']",mo koro ka vakau,184.21861589694117,more ka tatau
43,"['3', '10', '256', '10', '256', '48', '280']","['8', '3', '16', '3', '16', '0', '0']",te vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai,235.88087286765855,i hiva oti ga uka a torio a hoi ata
44,"['226', '1', '8', '600', '74', '60', '678', '53', '9', '2', '40', '9', '2', '86', '739', '700', '6', '90', '430']","['26', '2', '7', '5', '0', '0', '0', '0', '15', '11', '13', '15', '11', '0', '0', '23', '1', '25', '9']",to miri hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva,350.55576715502735,ka kake age haga piko te puke riva a ure haroharo i maea hara repo
45,"['522', '8', '256', '8']","['30', '7', '16', '7']",ruga vae,128.83895744308015,ruga vae
46,"['9', '10', '1', '50', '61', '4', '2', '40', '61', '61', '90']","['15', '3', '2', '0', '12', '4', '11', '13', '12', '12', '25']",o vae uhi e tomo e tomo e tomo e tomo e tomo e tomo e tomo e to,272.97200614122977,he oho he rere he moko he kamo he kakari hau ro
47,"['430', '59', '600']","['9', '0', '5']",e vehi te e,65.57069022543601,e kahi e
48,"['290', '63', '755', '63', '4', '6', '63', '50', '40', '63', '4', '63', '61', '22', '61', '63', '15', '63', '66', '69', '63', '1', '63', '16', '63', '16', '63', '37', '63', '2a', '6', '63', '607', '63', '16']","['0', '14', '0', '14', '4', '1', '14', '0', '13', '14', '4', '14', '12', '0', '12', '14', '0', '14', '10', '20', '14', '2', '14', '0', '14', '0', '14', '0', '14', '17', '1', '14', '0', '14', '0']",ki te haga ki haga ki haga ki haga ki haga ki haga ki haga ki haga ki haga,230.02627355643722,ka iri age ra ki rano kau ki te gatu ma hami regarega
49,"['3', '1', '670', '90', '450', '381', '63', '71', '678', '381', '6']","['8', '2', '28', '25', '0', '6', '14', '0', '0', '6', '1']",ko vai tua,79.33601751316182,ko vai paoaoa
50,"['260', '63', '63', '700', '1']","['0', '14', '14', '23', '2']",ki ragi nui,107.4271488481324,ika nui
51,"['63', '79', '1']","['14', '0', '2']",oti,81.91665746320625,puti e
52,"['226', '600', '8', '66']","['26', '5', '7', '10']",niutuha vae,202.62078838767175,ruga vae
53,"['77', '66', '95', '66', '61', '6', '74', '999', '66', '22f', '66', '66', '77', '66', '381', '66', '381', '29', '103', '27', '61']","['0', '10', '29', '10', '12', '1', '0', '0', '10', '27', '10', '10', '0', '10', '6', '10', '6', '0', '0', '0', '12']",ki hau to hami te hau to hami te hau to hami te hau to hami te hau to,285.3879431553523,ka iri age ra ki rano kau ki te gatu ma hami regarega
54,"['79', '700', '5', '53', '2', '381', '700', '5', '381', '700', '5']","['0', '23', '18', '0', '11', '6', '23', '18', '6', '23', '18']",ki tomo ki oho he rakerake,181.7448260985123,ki hiva ki ovakevake
55,"['34', '461', '10', '44', '1', '522', '381', '10', '95', '999', '8', '739', '1v', '1', '103', '256', '256', '62', '600', '4', '600', '40', '700', '226', '76', '1', '9', '5', '381', '50', '600', '430', '76', '430', '76', '430', '76', '755', '63', '4', '6', '670', '700', '670', '21']","['0', '0', '3', '0', '2', '30', '6', '3', '29', '0', '7', '0', '0', '2', '0', '16', '16', '19', '5', '4', '5', '13', '23', '26', '24', '2', '15', '18', '6', '0', '5', '9', '24', '9', '24', '9', '24', '0', '14', '4', '1', '28', '23', '28', '0']",ki hiro horu hi hi hi hi hi hi hi hi hi hi hi hi hi hi hi hi hi hi hi ,562.871683054762,ki raro ki te rano mata ui a ruga a te hihi e
56,"['600', '10', '8', '48', '66', '69']","['5', '3', '7', '0', '10', '20']",tataki riri rimo riri rimo riri rimo riri rimo riri rimo riri rimo riri rimo ,926.9937295954863,ka iri age ra ki rano kau ki te gatu ma hami regarega
57,"['44', '67', '270', '10', '40', '40', '40', '40', '430', '76', '75', '430', '25', '22', '45', '22', '2a', '22', '50']","['0', '0', '0', '3', '13', '13', '13', '13', '9', '24', '0', '9', '0', '0', '0', '0', '17', '0', '0']",to hiva miro miro miro miro miro miro miro miro miro miro miro miro miro miro,656.5591020617701,ka kake age haga piko te puke riva a ure haroharo i maea hara repo
58,"['7', '59', '6', '74', '226', '77', '430', '430', '77', '660', '660', '381', '7']","['22', '0', '1', '0', '26', '0', '9', '9', '0', '0', '0', '6', '22']",tunu toga nua tinona toga nua tinona toga nua tinona toga nua tinona toga ,643.0306016647971,aha ana noho ana i tua te ataata
59,"['381', '280', '60', '381', '2', '10', '?', '?', '60', '67', '999', '678', '40', '40', '700', '522', '70', '461', '670', '21', '260', '40', '430', '47']","['6', '0', '0', '6', '11', '3', '21', '21', '0', '0', '0', '0', '13', '13', '23', '30', '0', '0', '28', '0', '0', '13', '9', '0']",oho heke miro oho heke miro oho heke miro oho heke miro oho heke miro o,473.29956645464233,he oho he rere he moko he kamo he kakari hau ro
60,"['69', '10', '56', '69', '56', '730', '69']","['20', '3', '0', '20', '0', '0', '20']",he tohu vehi vehi veri vehi veri vehi veri vehi veri vehi veri vehi veri vehi,458.45817464071445,he oho he rere he moko he kamo he kakari hau ro
