,Glyphs,Encoded,Prediction,Perplexity,BestMatch
61,"['10', '39', '55', '22f', '55']","['3', '0', '0', '27', '0']",eve huhuti,183.29331200959663,ka huhuti
62,"['59', '6', '59', '8', '59', '3', '1', '290', '71', '10', '2']","['0', '1', '0', '7', '0', '8', '2', '0', '0', '3', '11']",mea tuu e,91.41270453874922,ka hau e
63,"['60', '755', '600', '29', '22', '600', '60', '69', '6', '3', '6', '77', '6', '3', '1', '6', '9', '6', '5', '6', '1']","['0', '0', '5', '0', '0', '5', '0', '20', '1', '8', '1', '0', '1', '8', '2', '1', '15', '1', '18', '1', '2']",mo e amo e au au au au au au au au au au au au a,289.47057480290266,e te tuu e te taha e kuia kapakapa
64,"['739', '3', '739', '670']","['0', '8', '0', '28']",he pitive,122.54473056810569,a potu e
65,"['8', '94a', '61', '61', '48', '600', '600', '27', '700', '1', '79', '208', '34']","['7', '0', '12', '12', '0', '5', '5', '0', '23', '2', '0', '0', '0']",e vero e vero e vero e vero e vero e vero e vero e vero e vero e,143.36405127491295,he oho he rere he moko he kamo he kakari hau ro
66,"['600', '27', '6', '11', '6', '77', '208', '34', '27', '678', '2a', '2', '40', '66']","['5', '0', '1', '0', '1', '0', '0', '0', '0', '0', '17', '11', '13', '10']",i a mahopu o rega,137.04641675936563,e amo roa
67,"['381', '10', '3', '66']","['6', '3', '8', '10']",kakokata,164.27821846474745,kakokako
68,"['2', '52', '670', '678', '52', '381', '62', '52', '1', '95f', '95f', '?', '?', '1', '66', '40', '66', '48', '381', '10', '8', '600', '600', '27', '6', '700', '11', '208', '34']","['11', '0', '28', '0', '0', '6', '19', '0', '2', '0', '0', '21', '21', '2', '10', '13', '10', '0', '6', '3', '7', '5', '5', '0', '1', '23', '0', '0', '0']",ki retu turu turu turu turu turu turu turu turu turu turu turu turu turu turu,654.3184778227441,ka umu age puna rere hiva te vai hau a manu hururega i togariki ana
69,"['55', '17', '6', '17', '76', '2', '6', '226', '226', '670', '607', '607', '40', '?', '?', '381', '600', '381', '999', '381', '10']","['0', '0', '1', '0', '24', '11', '1', '26', '26', '28', '0', '0', '13', '21', '21', '6', '5', '6', '0', '6', '3']",mea tino tino tino tino tino tino tino tino tino tino tino tino tino tino ti,609.0137589980035,ki raro ki te rano mata ui a ruga a te hihi e
70,"['226', '48', '17', '226', '48', '19', '226', '48', '102']","['26', '0', '0', '26', '0', '0', '26', '0', '0']",gutugutu pakupaku,183.29331200959663,gutugutu po
71,"['45', '9', '37', '10', '1', '522', '381', '9', '260', '1', '4', '711', '260', '1', '4', '711']","['0', '15', '0', '3', '2', '30', '6', '15', '0', '2', '4', '0', '0', '2', '4', '0']",mo nei,105.41402218672246,motu nui
72,"['256', '4', '6', '50', '4', '6', '461', '4', '6', '670', '4', '6', '9', '63']","['16', '4', '1', '0', '4', '1', '0', '4', '1', '28', '4', '1', '15', '14']",ku taa te a taria kua te a taria kua te a taria kua te a taria ,279.5556050522732,ka tau age ruhi pu te rei roa a tagi te gaegae
73,"['10', '290', '6', '74', '4', '8', '48', '7', '1', '226', '48', '381', '44', '7', '522', '44', '730', '10', '600', '600', '10', '74']","['3', '0', '1', '0', '4', '7', '0', '22', '2', '26', '0', '6', '0', '22', '30', '0', '0', '3', '5', '5', '3', '0']",ka meru nui i ma i ma i ma i ma i ma i ma i ma i ma i ma i ,265.8871440632305,ka iri age ra ki rano kau ki te gatu ma hami regarega
74,"['755', '755', '4', '52', '451', '451', '451', '451', '79', '270', '10', '79', '270', '10', '67', '67', '10']","['0', '0', '4', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '3', '0', '0', '3']",to nei,106.31380901052117,tohu nui
75,"['7', '52', '10', '53']","['22', '0', '3', '0']",tohu iti,114.03852131065817,tohu iti
76,"['45', '4', '6', '7', '600', '99', '50']","['0', '4', '1', '22', '5', '0', '0']",tomau togau aha a tuha a tuha a tuha a tuha a tuha a tuha a tuha ,447.10974823011793,aha ana noho ana i tua te ataata
77,"['7', '67', '10f', '256', '27', '6', '77', '34', '4', '522', '700', '600', '59', '4', '6', '700', '6', '30a', '450', '3']","['22', '0', '0', '16', '0', '1', '0', '0', '4', '30', '23', '5', '0', '4', '1', '23', '1', '0', '0', '8']",he pua haga a pua haga a pua haga a pua haga a pua haga a pua ha,222.16161159154612,ku kahakihia a e ga ihu more a pua katiki
78,"['?', '?', '48', '?', '?', '99', '48', '45', '270', '999', '45', '50']","['21', '21', '0', '21', '21', '0', '0', '0', '0', '0', '0', '0']",hiro,100.04489927215313,ai ava
79,"['1', '9', '755', '50', '10', '5', '37', '1', '208', '69', '999', '700', '280', '1', '7', '260', '1', '280', '25']","['2', '15', '0', '0', '3', '18', '0', '2', '0', '20', '0', '23', '0', '2', '22', '0', '2', '0', '0']",ko papa hiva e hukave nuka,202.3203493145055,ka kava aro ka kava tua
80,"['2', '34', '2', '1', '2', '34']","['11', '0', '11', '2', '11', '0']",te hati ka hatu kakahera,199.2366968713404,ki roto ki te pakahera
81,"['6', '6', '1', '600', '10', '755', '6', '770', '60', '70', '61', '1', '61', '381', '6', '6', '90', '90', '381', '66', '1', '208', '9']","['1', '1', '2', '5', '3', '0', '1', '0', '0', '0', '12', '2', '12', '6', '1', '1', '25', '25', '6', '10', '2', '0', '15']",a rati te aha a tino te aha a tino te aha a tino te aha a tino te,223.34423121225373,ka kake age haga piko te puke riva a ure haroharo i maea haro repa
82,"['10', '2', '1', '7', '290', '62', '1', '63']","['3', '11', '2', '22', '0', '19', '2', '14']",e vai tomo e,79.26369944956942,e ga ihu more
83,"['4', '66', '760', '4', '66']","['4', '10', '0', '4', '10']",ka oti,55.393519606362595,ika nui
84,"['4', '1', '5']","['4', '2', '18']",teteke ka,150.05560076203108,tetere po
85,"['4', '90', '90', '730', '730']","['4', '25', '25', '0', '0']",ka papaku no,85.19301945843404,ka tatagi no
86,"['280', '381', '10', '381', '10']","['0', '6', '3', '6', '3']",moe nui,135.7925564112858,motu nui
87,"['290', '40', '61', '270', '10', '40', '670', '8', '79', '711']","['0', '13', '12', '0', '3', '13', '28', '7', '0', '0']",mo raro vaka tagi popo tahovero,344.84473046075277,ko raro ko te paega
88,"['10', '10', '2', '10', '2', '5', '2', '69', '2']","['3', '3', '11', '3', '11', '18', '11', '20', '11']",ka hau hiro gae,147.8689942475935,ka hao e
89,"['10f', '70', '760', '40', '6', '430', '47']","['0', '0', '0', '13', '1', '9', '0']",rupu pua touru hia,373.4587249640537,e pua te nanaia
90,"['87', '1', '47', '1']","['0', '2', '0', '2']",pei nui,111.39543510683949,pei nui
91,"['280', '1', '280', '2', '1']","['0', '2', '0', '11', '2']",mo toone iti,164.158940501203,mo toitoi
92,"['1', '57', '1', '1', '1', '?', '1', '62', '522']","['2', '0', '2', '2', '2', '21', '2', '19', '30']",ka papa te papa te papa te papa te papa te papa te papa te papa te papa te,190.31942126192243,ka kake age haga piko te puke riva a ure haroharo i maea hara repo
93,"['62', '1', '430', '607', '45', '9', '95', '95', '10', '67']","['19', '2', '9', '0', '0', '15', '29', '29', '3', '0']",o korove,115.98133346157923,a potu e
94,"['270', '?', '270', '21', '1', '?', '270', '21', '1']","['0', '21', '0', '0', '2', '21', '0', '0', '2']",moko moko moko moko moko moko moko moko moko moko moko moko moko moko moko mo,445.9040757392834,he oho he rere he moko he kamo he kakari hau ro
95,"['1', '72', '77', '27', '711']","['2', '0', '0', '0', '0']",pepepe,164.27821846474745,puti e
96,"['999', '40', '4', '6', '53']","['0', '13', '4', '1', '0']",motu ana,93.66566224615461,motu iti
97,"['17', '10', '6', '381']","['0', '3', '1', '6']",mo te ana,76.19697995730708,mo te atua
98,"['600', '700', '270', '678', '2a', '56', '3', '1', '260', '1', '62', '1', '3', '70', '60', '226', '5', '256', '711']","['5', '23', '0', '0', '17', '0', '8', '2', '0', '2', '19', '2', '8', '0', '0', '26', '18', '16', '0']",o miro miro miro miro miro miro miro miro miro miro miro miro miro miro miro,647.8220258391192,ka kake age haga piko te puke riva a ure haroharo i maea hara repo
99,"['22', '48', '2a', '1', '461', '86', '522']","['0', '0', '17', '2', '0', '0', '30']",mo ko no,94.8833100239536,mo toitoi
100,"['600', '2', '52']","['5', '11', '0']",e hati,57.436985396191375,e hati pu
101,"['4', '6', '52', '9', '52']","['4', '1', '0', '15', '0']",i ahu papaku,113.65721860618046,ki taaku papaku
102,"['1', '381', '2', '3', '730']","['2', '6', '11', '8', '0']",ka kau gau,111.81851130200381,ka hau e
103,"['7', '600', '7', '10']","['22', '5', '22', '3']",ki haho e,63.51269781190154,ki haho e
104,"['4', '430', '22', '430']","['4', '9', '0', '9']",matakuma tata,236.70283774450795,mata ui a tai
105,"['40', '24']","['13', '0']",motu nui,81.46586115965655,motu nui
106,"['44', '44', '53', '53', '53', '17', '53', '17']","['0', '0', '0', '0', '0', '0', '0', '0']",gutugutugutugutugutugutugutugutugutugutugutugutugutugutugutugutugutugutugutugutugutugutugutu,164.27821846474745,ka umu age puna rere hiva te vai hau a manu hururega i togariki ana
107,"['92', '50', '6', '670']","['0', '0', '1', '28']",mea too mea peana ana ana ana ana ana ana ana ana ana ana ana ,322.0197913994417,aha ana noho ana i tua te ataata
108,"['290', '6', '2', '71', '61', '61', '90', '71', '6', '47', '10f', '61']","['0', '1', '11', '0', '12', '12', '25', '0', '1', '0', '0', '12']",mea tumu huareva te pau hiva tagi nui nui nui nui nui nui nui nui ,320.67858943882857,ki raro ki te rano mata ui a ruga a te hihi e
109,"['67', '600', '600', '4', '700', '4', '700']","['0', '5', '5', '4', '23', '4', '23']",ka hau ehu ka hahi ka hahi ka hahi ka hahi ka hahi ka hahi ka hahi ka ha,330.27461459784536,ka iri age ra ki rano kau ki te gatu ma hami regarega
110,"['607', '9', '6', '607', '9', '6']","['0', '15', '1', '0', '15', '1']",mo te a rona,103.73321635020939,mo te atua
111,"['62', '6', '1', '62', '6', '1', '62', '6', '1']","['19', '1', '2', '19', '1', '2', '19', '1', '2']",kua te au au au au au au au au au au au au au au,327.3504474739417,e te tuu e te taha e kuia kapakapa
112,"['90', '773', '260', '69', '11']","['25', '0', '0', '20', '0']",gutugutu po,147.23196200341178,gutugutu po
113,"['68', '10', '77', '256', '55', '95', '226', '19', '57', '19', '45']","['0', '3', '0', '16', '0', '29', '26', '0', '0', '0', '0']",he vereve vere vereve vere vereve vere vereve vere vereve vere vereve vere vere,707.1137908300668,he oho he rere he moko he kamo he kakari hau ro
114,"['39', '513', '40', '670', '2', '6', '1', '62', '22', '10', '110']","['0', '0', '13', '28', '11', '1', '2', '19', '0', '3', '0']",ki naui a e naui a e naui a e naui a e naui a e naui ,247.66973947451774,ki raro ki te rano mata ui a ruga a te hihi e
115,"['290', '69', '6', '74', '35', '70', '35', '600', '35', '71', '66', '71', '35', '10', '67', '35', '270', '6', '76', '?', '10', '30a', '600', '2a', '62', '4', '9']","['0', '20', '1', '0', '0', '0', '0', '5', '0', '0', '10', '0', '0', '3', '0', '0', '0', '1', '24', '21', '3', '0', '5', '17', '19', '4', '15']",ki hiva hu ti maha kiha hu tike kiha hu tike kiha hu tike kiha hu tike kiha,718.7932814017446,ha hi age hatehate te kahi riva a tumu a hoi
116,"['600', '62', '9', '230', '62', '600']","['5', '19', '15', '0', '19', '5']",ka papaku mau,109.53403989164586,ta papaku uri
117,"['290', '2a', '79', '280', '2', '280', '30a']","['0', '17', '0', '0', '11', '0', '0']",he pinau no,121.21672632682838,he naunau no
118,"['280', '1', '522', '61', '280', '1', '22', '61', '280']","['0', '2', '30', '12', '0', '2', '0', '12', '0']",vai pata,141.35845791824684,ai ava
119,"['98', '7']","['0', '22']",patimo tohu no,218.46600019825215,rava tagi no
120,"['59', '76', '256', '?', '?', '607', '700', '76', '10', '76', '?']","['0', '24', '16', '21', '21', '0', '23', '24', '3', '24', '21']",ki hiva moko ki tomo ki tomo ki tomo ki tomo ki tomo ki tomo ki tomo ki to,315.2024552192974,ki raro ki te rano mata ui a ruga a te hihi e
121,"['430', '76', '70']","['9', '24', '0']",ma tupa rona,188.58004738651783,e tupa roa
122,"['730', '700', '513', '76']","['0', '23', '0', '24']",pakupaku,92.22030504233791,pakupaku
123,"['76', '755', '90']","['24', '0', '25']",he pakupaku,89.57551907722666,pakupaku
124,"['10', '6', '6', '8', '430', '2a', '10', '2', '62', '59', '9', '48', '700', '8', '670', '69', '30a']","['3', '1', '1', '7', '9', '17', '3', '11', '19', '0', '15', '0', '23', '7', '28', '20', '0']",i a hakahine hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva hi,321.5523141455265,ka kake age haga piko te puke riva a ure haroharo i maea hara repo
125,"['600', '69', '600', '69', '1']","['5', '20', '5', '20', '2']",ka ko vai vai,87.11854643461848,ka koekoe mai
126,"['50', '1', '50', '1', '256', '50']","['0', '2', '0', '2', '16', '0']",pepe te ko nau nau nau hupe,422.3800611051006,e te manu vae ha
127,"['280', '600', '6', '75', '25']","['0', '5', '1', '0', '0']",i ana,44.15264079406628,ai ava
128,"['2a', '10', '256', '79', '1', '600', '95']","['17', '3', '16', '0', '2', '5', '29']",vae mai kupega,183.35649040483503,kai maika para
129,"['600', '61', '290', '61', '95']","['5', '12', '0', '12', '29']",ma makemake,136.8703636048807,ma makemake
130,"['70', '66', '600', '670']","['0', '10', '5', '28']",ki te vae nui pu,118.91154871504764,ki te vai uutu
131,"['56', '76', '670', '700', '90', '76', '607', '678', '4']","['0', '24', '28', '23', '25', '24', '0', '0', '4']",tomo tohu rikirikipiki e,190.69899928162994,i ahu rikiriki e
132,"['83', '76', '670', '74', '70', '53']","['0', '24', '28', '0', '0', '0']",gutugutu po,147.23196200341178,gutugutu po
133,"['208', '76', '7', '70', '381', '6', '90', '92', '90', '76', '90', '76', '2a', '10', '87', '256', '522', '5', '5', '5']","['0', '24', '22', '0', '6', '1', '25', '0', '25', '24', '25', '24', '17', '3', '0', '16', '30', '18', '18', '18']",ki hiriki hiva togari togari togari togari togari togari togari togari togari to,686.5166938092358,i hiva oti ga uka a torio a hoi ata
134,"['23', '76', '70', '1v', '69', '280', '76', '11', '2a', '23', '678', '23', '76', '22', '532', '451', '430', '76', '532', '298']","['0', '24', '0', '0', '20', '0', '24', '0', '17', '0', '0', '0', '24', '0', '0', '0', '9', '24', '0', '0']",gutu riki piki ki pige mi hiri ki pige mi hiri ki pige mi hiri ki pige mi ,788.0663599857413,ka iri age ra ki rano kau ki te gatu ma hami regarega
135,"['4', '1', '57', '1', '69', '1', '2', '607', '74']","['4', '2', '0', '2', '20', '2', '11', '0', '0']",ka koro puku mati te koro puku mati te koro puku mati te koro puku mati te ,253.63570142840337,ka oka age hau koka te korotea a kava te ruruki
136,"['40', '5', '600', '2a', '2a', '8', '8', '4']","['13', '18', '5', '17', '17', '7', '7', '4']",ko vae mai e,75.16402164937402,i te moai e
137,"['90', '6', '52', '280', '522']","['25', '1', '0', '0', '30']",ki a hina tunu ana tipina tunu ana tipina tunu ana tipina tunu ana tipina,415.077601445702,aha ana noho ana i tua te ataata
138,"['27', '700', '6', '6', '260', '8']","['0', '23', '1', '1', '0', '7']",moa ana ana ana ana ana ana ana ana ana ana ana ana ana ana a,297.7654087387294,aha ana noho ana i tua te ataata
139,"['70', '5']","['0', '18']",motu tata,150.51045394449997,motu iti
140,"['10', '711']","['3', '0']",ka huhu,91.0587422010226,ka huhuti
141,"['90', '90', '90', '70']","['25', '25', '25', '0']",pakupaku,92.22030504233791,pakupaku
142,"['90', '76', '70']","['25', '24', '0']",momomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomo,164.27821846474745,he oho he rere he moko he kamo he kakari hau ro
143,"['1', '522', '4', '6']","['2', '30', '4', '1']",ka ko tua,77.70932715238527,a potu e
144,"['59', '55', '35']","['0', '0', '0']",momomomo,108.42081136616746,momomomo
145,"['6', '3', '522', '3', '22f', '3', '6', '74', '3', '145', '3', '102']","['1', '8', '30', '8', '27', '8', '1', '0', '8', '0', '8', '0']",a haga e mahaki,102.42241947879245,e hara e hara e
